x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
60;0;1;0;1;1;0;0;0;0;0;0;2;2;2;4;2;3;3;2;3;3;10;5;25;60;1;3;3;4;3;3;-1.073645056;-1.10308782;-0.818721696;-1.087515636;-0.704671677;-0.058654807;2
61;1;0;0;1;1;0;1;1;1;1;0;5;4;5;5;5;5;4;5;5;5;20;10;20;50;2;2;3;2;1;7;0.609921311;0.345449752;-0.712401918;-0.29670957;-0.170435267;-1.014315261;4
62;0;1;0;1;0;0;0;0;0;0;0;5;6;4;6;6;4;6;6;6;5;10;10;45;35;1;2;3;4;1;2;1.066000796;0.879928281;0.625891347;-1.043936156;-0.19030272;-0.700611317;2
64;1;0;1;1;1;1;1;0;0;1;0;4;5;2;5;4;7;6;7;7;7;30;10;25;35;2;2;3;3;3;7;0.141984796;1.792811904;-0.091965771;0.487624178;-0.154174267;-0.406731592;4
65;0;1;0;1;1;1;0;0;0;1;0;3;4;3;3;5;4;4;5;5;4;30;5;40;25;1;2;3;3;1;5;-0.049150847;0.135494273;0.748605502;0.487336387;-0.672750754;-0.857463289;2
66;0;0;0;1;0;1;1;1;0;1;0;2;2;2;3;2;5;4;5;5;5;25;5;35;35;2;2;3;2;1;6;-1.154295748;0.345449752;0.275159977;0.092077249;-0.680580716;-1.014315261;4
67;1;0;0;1;0;1;1;0;0;1;0;4;5;1;4;5;4;4;4;5;3;10;0;90;0;2;3;1;3;2;5;0.209464497;-0.096389559;3.286398598;-1.025958157;-1.229258921;0.192751532;4
68;1;0;0;0;0;0;1;0;0;0;0;4;3;4;4;5;6;5;5;6;3;10;10;20;60;1;2;1;2;2;2;0.166736033;0.705106106;-1.006383164;-1.074858791;-0.187297342;-0.155325252;1
69;0;0;0;1;1;1;1;0;0;1;0;5;5;3;5;5;4;2;5;2;3;10;10;30;50;2;2;3;2;2;6;0.600523887;-0.809674837;-0.35347336;-1.062489737;-0.188499493;-0.788949413;4
70;0;1;0;1;1;1;0;0;0;0;0;4;3;4;4;5;5;5;5;4;2;10;40;20;30;2;2;3;4;2;4;0.166736033;0.128602138;-0.17362256;-0.96181056;2.913342216;-0.475245468;2
